Index,Time,mtr.state.i_dq.v1,mtr.state.pos_spd_e.v1,mtr.reference.u_dq.v1,mtr.state.pos_spd_e.v2
82,0.081964,0.0477113239,4.67677355,-0.0427029096,-12.2604914
83,0.082969,0.0409036316,4.67604113,-0.0276421476,-7.07456398
84,0.083964,0.0336321704,4.67559862,0.00346486061,-4.08217382
85,0.084969,0.0377051458,4.67533159,0.0378532484,-2.35550094
86,0.085965,0.0384650044,4.67517138,0.0667296574,-1.35917413
87,0.086964,0.045882266,4.67507219,0.080101952,-0.784272373
88,0.087966,0.0546646379,4.67501497,0.07662981,-0.452541828
89,0.088965,0.0605756305,4.67497683,0.0584967099,-0.26112625
90,0.090034,0.0617950968,4.67495775,0.0297268629,-0.150675386
91,0.090982,0.0578634739,4.67494631,0.000225412135,-0.0869428962
92,0.091965,0.0584686846,4.67493868,-0.0162835363,-0.0501678996
93,0.092969,0.0469605923,4.67493105,-0.0178458076,-0.0289479438
94,0.093964,0.0446853861,4.67492723,-0.0100553781,-0.0167035777
95,0.094969,0.0405945405,4.67492342,0.0114603247,-0.00963831879
96,0.095965,0.0360441282,4.67492342,0.0385377184,-0.00556151476
97,0.096965,0.0410405286,4.67492342,0.0570475981,-0.00320911221
98,0.097966,0.0484577827,4.67492342,0.0656002909,-0.00185172586
99,0.098965,0.0551241785,4.67492342,0.063823916,-0.0010684852
100,0.099966,0.0575495549,4.67492342,0.0506177433,-0.000616538629
101,0.101094,0.0570990369,4.67492342,0.0263768621,-0.000355755881
102,0.101978,0.0577133037,4.67492342,0.00860535447,-0.000205278702
103,0.102964,0.0567987002,4.67492342,-0.0017642969,-0.000118450174
104,0.103969,0.0490720496,4.67492342,-0.00364735839,-6.83482649e-05
105,0.104965,0.0437843539,4.67492342,0.00193965167,-3.94384006e-05
106,0.105964,0.0440756492,4.67492342,0.0148220314,-2.27567944e-05
107,0.106965,0.0407403484,4.67919588,0.0337503962,45.5319519
108,0.107965,0.0440755263,4.67750216,0.0464321561,-19.2590599
109,0.108966,0.0455828235,4.68075228,0.054808531,34.419075
110,0.109965,0.0563359894,4.68270922,0.0463471971,19.8605366
111,0.110966,0.0552794673,4.68389177,0.0387561731,11.4599514
112,0.111965,0.0549785532,4.68460512,0.0262211505,6.61263561
113,0.112967,0.0646745861,4.68503618,0.00648345053,3.81563115
114,0.113980,0.0542226806,4.68529558,-0.000714655092,2.20170021
115,0.114964,0.0492291711,4.68545198,-0.00238984614,1.27042782
116,0.115969,0.0483194292,4.68554735,0.00663289987,0.733063817
