Index,Time,encoder_angle,ref_angle,diff_angle
2317,23.17965,0.139713764,0.147262156,0.007548392
2318,23.189646,0.14053154,0.148796141,0.008264601
2319,23.199637,0.14053154,0.148796141,0.008264601
2320,23.209648,0.141643047,0.150330126,0.008687079
2321,23.219704,0.1429317,0.151864097,0.008932397
2322,23.229633,0.144327164,0.153398082,0.009070918
2323,23.239646,0.145787001,0.154932067,0.009145066
2324,23.249646,0.147285938,0.156466052,0.009180114
2325,23.25965,0.147285938,0.156466052,0.009180114
2326,23.269633,0.148808241,0.158000022,0.009191781
2327,23.279659,0.150344849,0.159534007,0.009189159
2328,23.289633,0.151889801,0.161067992,0.009178191
2329,23.299646,0.153439999,0.162601963,0.009161964
2330,23.309676,0.154993296,0.164135948,0.009142652
2331,23.31965,0.154993296,0.164135948,0.009142652
2332,23.329648,0.156548262,0.165669933,0.009121671
2333,23.339636,0.15810442,0.167203903,0.009099483
2334,23.349649,0.159661293,0.168737888,0.009076595
2335,23.359651,0.161218643,0.170271873,0.00905323
2336,23.369633,0.162776232,0.171805859,0.009029627
2337,23.379649,0.162776232,0.171805859,0.009029627
2338,23.38965,0.164334059,0.173339829,0.00900577
2339,23.399637,0.165891886,0.174873814,0.008981928
2340,23.40965,0.167449713,0.176407799,0.008958086
2341,23.419648,0.169007778,0.177941769,0.008933991
2342,23.429637,0.170565605,0.179475754,0.008910149
2343,23.439646,0.170565605,0.179475754,0.008910149
2344,23.449648,0.172123671,0.18100974,0.008886069
2345,23.459649,0.173681498,0.182543725,0.008862227
2346,23.469671,0.175239563,0.184077695,0.008838132
2347,23.479634,0.17679739,0.18561168,0.00881429
2348,23.489648,0.178355455,0.187145665,0.00879021
2349,23.49965,0.178355455,0.187145665,0.00879021
2350,23.509739,0.179913521,0.188679636,0.008766115
2351,23.519647,0.181471348,0.190213621,0.008742273
2352,23.529646,0.182410955,0.191747606,0.00933665
2353,23.539636,0.184214354,0.193281591,0.009067237
2354,23.549649,0.185920238,0.194815561,0.008895323
2355,23.559648,0.185920238,0.194815561,0.008895323
2356,23.569635,0.186949253,0.196349546,0.009400293
2357,23.579649,0.188188076,0.197883531,0.009695455
2358,23.589634,0.189553499,0.199417502,0.009864002
2359,23.599649,0.190995455,0.200951487,0.009956032
2360,23.60965,0.192483425,0.202485472,0.010002047
2361,23.619634,0.192483425,0.202485472,0.010002047
2362,23.629646,0.193999052,0.204019457,0.010020405
2363,23.639646,0.195531607,0.205553427,0.010021821
2364,23.649633,0.197074175,0.207087412,0.010013238
2365,23.659648,0.198622942,0.208621398,0.009998456
2366,23.669648,0.200175285,0.210155368,0.009980083
2367,23.679634,0.200175285,0.210155368,0.009980083
2368,23.689646,0.201729774,0.211689353,0.009959579
2369,23.69965,0.203285694,0.213223338,0.009937644
2370,23.709728,0.204842329,0.214757323,0.009914994
2371,23.71965,0.205781221,0.216291294,0.010510072
2372,23.729633,0.206965923,0.217825279,0.010859355
2373,23.739634,0.206965923,0.217825279,0.010859355
2374,23.749649,0.208298683,0.219359264,0.011060581
2375,23.759646,0.20972085,0.220893234,0.011172384
2376,23.76965,0.21057868,0.222427219,0.011848539
2377,23.779637,0.211714268,0.223961204,0.012246937
2378,23.789633,0.213017464,0.225495189,0.012477726
2379,23.799648,0.213017464,0.225495189,0.012477726
2380,23.809649,0.214421988,0.22702916,0.012607172
2381,23.819634,0.236290455,0.228563145,-0.00772731
2382,23.829635,0.22969532,0.23009713,0.00040181
2383,23.83965,0.226335764,0.2316311,0.005295336
2384,23.849638,0.224927902,0.233165085,0.008237183
2385,23.859637,0.224927902,0.233165085,0.008237183
2386,23.86965,0.224696875,0.23469907,0.010002196
2387,23.879636,0.225175858,0.236233041,0.011057183
2388,23.889647,0.22608304,0.237767026,0.011683986
2389,23.899648,0.22724843,0.239301011,0.012052581
2390,23.909634,0.228569746,0.240834996,0.01226525
2391,23.919636,0.228569746,0.240834996,0.01226525
2392,23.929647,0.249769926,0.242368966,-0.00740096
2393,23.939637,0.243390083,0.243902951,0.000512868
2394,23.949637,0.259945393,0.245436937,-0.014508456
2395,23.959649,0.250763893,0.246970907,-0.003792986
2396,23.969649,0.265011072,0.248504892,-0.01650618
2397,23.979719,0.265011072,0.248504892,-0.01650618
2398,23.989649,0.255055904,0.250038862,-0.005017042
2399,23.999646,0.268836498,0.251572847,-0.017263651
2400,24.009632,0.258599758,0.253106833,-0.005492926
2401,24.019647,0.253043652,0.254640818,0.001597166
2402,24.02965,0.250310898,0.256174803,0.005863905
2403,24.039637,0.250310898,0.256174803,0.005863905
2404,24.049635,0.24928093,0.257708788,0.008427858
2405,24.059648,0.24927783,0.259242773,0.009964943
2406,24.069636,0.249894381,0.260776728,0.010882348
2407,24.079651,0.251502752,0.262310714,0.010807961
2408,24.089646,0.253091097,0.263844699,0.010753602
2409,24.099635,0.253091097,0.263844699,0.010753602
2410,24.109648,0.254667521,0.265378684,0.010711163
2411,24.119656,0.256236553,0.266912669,0.010676116
2412,24.129723,0.257182837,0.268446654,0.011263818
2413,24.139633,0.258990288,0.269980639,0.010990351
2414,24.149649,0.260698557,0.271514595,0.010816038
2415,24.159636,0.260698557,0.271514595,0.010816038
2416,24.169649,0.262347221,0.27304858,0.010701358
2417,24.17965,0.263959885,0.274582565,0.01062268
2418,24.189648,0.265550852,0.27611655,0.010565698
2419,24.199634,0.267128706,0.277650535,0.010521829
2420,24.209646,0.268698692,0.27918452,0.010485828
2421,24.219636,0.268698692,0.27918452,0.010485828
2422,24.229649,0.27026391,0.280718505,0.010454595
2423,24.239646,0.271826267,0.282252461,0.010426194
2424,24.249648,0.273386955,0.283786446,0.010399491
2425,24.259634,0.274946451,0.285320431,0.01037398
2426,24.269757,0.27650547,0.286854416,0.010348946
2427,24.279635,0.27650547,0.286854416,0.010348946
2428,24.289649,0.278064013,0.288388401,0.010324389
2429,24.299646,0.280240536,0.289922386,0.009681851
2430,24.309649,0.282171488,0.291456372,0.009284884
2431,24.319632,0.283954382,0.292990327,0.009035945
2432,24.329632,0.285648108,0.294524312,0.008876204
2433,24.339646,0.285648108,0.294524312,0.008876204
2434,24.349647,0.287287951,0.296058297,0.008770347
2435,24.359636,0.288895369,0.297592282,0.008696914
2436,24.369649,0.290483236,0.299126267,0.008643031
2437,24.37965,0.292059183,0.300660253,0.008601069
2438,24.389657,0.293627977,0.302194238,0.00856626
2439,24.399649,0.293627977,0.302194238,0.00856626
2440,24.409646,0.29519248,0.303728193,0.008535713
2441,24.419699,0.29675436,0.305262178,0.008507818
2442,24.429636,0.298314571,0.306796163,0.008481592
2443,24.439649,0.300492287,0.308330148,0.007837862
2444,24.449634,0.302423954,0.309864134,0.00744018
2445,24.459634,0.302423954,0.309864134,0.00744018
2446,24.469649,0.304207325,0.311398119,0.007190794
2447,24.479636,0.305901289,0.312932104,0.007030815
2448,24.48965,0.30754137,0.314466059,0.006924689
2449,24.499646,0.309148788,0.316000044,0.006851256
2450,24.509633,0.310736656,0.317534029,0.006797373
2451,24.519715,0.310736656,0.317534029,0.006797373
2452,24.529646,0.312312603,0.319068015,0.006755412
2453,24.539772,0.313881397,0.320602,0.006720603
2454,24.549637,0.3154459,0.322135985,0.006690085
2455,24.559647,0.31700778,0.32366997,0.00666219
2456,24.56965,0.318567991,0.325203925,0.006635934
2457,24.579648,0.318567991,0.325203925,0.006635934
2458,24.589633,0.320127487,0.326737911,0.006610423
2459,24.599636,0.321686268,0.328271896,0.006585628
2460,24.609637,0.323863029,0.329805881,0.005942851
2461,24.619648,0.325176001,0.331339866,0.006163865
2462,24.629803,0.327204466,0.332873851,0.005669385
2463,24.639651,0.327204466,0.332873851,0.005669385
2464,24.649648,0.329046011,0.334407806,0.005361795
2465,24.659649,0.330775261,0.335941792,0.005166531
2466,24.669633,0.331818104,0.337475777,0.005657673
2467,24.679646,0.33306551,0.339009762,0.005944252
2468,24.689738,0.335054398,0.340543747,0.005489349
2469,24.69965,0.335054398,0.340543747,0.005489349
2470,24.70965,0.336872101,0.342077732,0.005205631
2471,24.71965,0.337968588,0.343611717,0.005643129
2472,24.729645,0.33924818,0.345145673,0.005897492
2473,24.739636,0.341256618,0.346679658,0.005423039
2474,24.749649,0.342468023,0.348213643,0.00574562
2475,24.759646,0.342468023,0.348213643,0.00574562
2476,24.769637,0.344435215,0.349747628,0.005312413
2477,24.779635,0.359842062,0.351281613,-0.008560449
2478,24.78965,0.356150866,0.352815598,-0.003335267
2479,24.799635,0.368144989,0.354349583,-0.013795406
2480,24.809646,0.362395287,0.355883539,-0.006511748
2481,24.819648,0.362395287,0.355883539,-0.006511748
2482,24.829634,0.372529507,0.357417524,-0.015111983
2483,24.839647,0.365658045,0.358951509,-0.006706536
2484,24.849633,0.375733852,0.360485494,-0.015248358
